pygame 2.0.0 (SDL 2.0.12, python 3.9.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
         481881 function calls (477542 primitive calls) in 42.057 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      107    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
       58    0.001    0.000    0.001    0.000 redvsblue.py:25(__init__)
        1    0.000    0.000    0.001    0.001 _osx_support.py:379(customize_config_vars)
     2900    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
      358    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
       82    0.000    0.000    0.001    0.000 pyparsing.py:3719(__init__)
      6/2    0.000    0.000    0.001    0.000 pyparsing.py:4183(streamline)
      245    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:87(acquire)
        1    0.000    0.000    0.001    0.001 six.py:1(<module>)
     1336    0.000    0.000    0.001    0.000 sre_parse.py:172(append)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:2425(EntryPoint)
     1658    0.001    0.000    0.001    0.000 version.py:44(<lambda>)
      245    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:112(release)
        1    0.000    0.000    0.001    0.001 charset.py:5(<module>)
       48    0.000    0.000    0.001    0.000 pyparsing.py:1948(__or__)
      319    0.000    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
     1126    0.000    0.000    0.001    0.000 sre_parse.py:286(tell)
     3991    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 sysconfig.py:416(_init_posix)
       22    0.000    0.000    0.000    0.000 abc.py:84(__new__)
      317    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       99    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       57    0.000    0.000    0.000    0.000 posixpath.py:164(islink)
        8    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
      142    0.000    0.000    0.000    0.000 __init__.py:2905(<listcomp>)
        2    0.000    0.000    0.000    0.000 re.py:198(search)
      185    0.000    0.000    0.000    0.000 ntpath.py:124(splitdrive)
       48    0.000    0.000    0.000    0.000 pyparsing.py:3540(__init__)
     1869    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
      138    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:160(__exit__)
        1    0.000    0.000    0.000    0.000 _osx_support.py:128(_supports_universal_builds)
        2    0.000    0.000    0.000    0.000 _osx_support.py:83(_get_system_version)
    77/62    0.000    0.000    0.000    0.000 pyparsing.py:3434(__str__)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:483(_find_module_shim)
       57    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
     1160    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1421(find_loader)
    87/79    0.000    0.000    0.000    0.000 pyparsing.py:3576(__str__)
       16    0.000    0.000    0.000    0.000 pyparsing.py:1204(setResultsName)
