pygame 2.0.0 (SDL 2.0.12, python 3.9.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
         4126509 function calls (4122176 primitive calls) in 31.177 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    16827    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
       76    0.002    0.000    0.002    0.000 {built-in method io.open_code}
      173    0.000    0.000    0.002    0.000 __init__.py:1487(_fn)
        3    0.000    0.000    0.002    0.001 pyparsing.py:1608(parseString)
       26    0.000    0.000    0.002    0.000 traceback.py:200(extract_stack)
     3116    0.001    0.000    0.002    0.000 version.py:61(_compare)
       26    0.000    0.000    0.002    0.000 traceback.py:321(extract)
4439/4435    0.001    0.000    0.002    0.000 {method 'join' of 'str' objects}
   131/65    0.000    0.000    0.002    0.000 pyparsing.py:3365(<listcomp>)
      272    0.001    0.000    0.002    0.000 __init__.py:684(add)
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
        1    0.000    0.000    0.002    0.002 sysconfig.py:605(get_platform)
      123    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
      172    0.000    0.000    0.002    0.000 enum.py:289(__call__)
       18    0.000    0.000    0.002    0.000 {built-in method builtins.next}
       61    0.000    0.000    0.002    0.000 pyparsing.py:3292(<listcomp>)
       61    0.002    0.000    0.002    0.000 {built-in method posix.getcwd}
  922/217    0.001    0.000    0.002    0.000 sre_parse.py:174(getwidth)
      288    0.001    0.000    0.002    0.000 version.py:248(__str__)
      560    0.002    0.000    0.002    0.000 version.py:378(_cmpkey)
    20185    0.002    0.000    0.002    0.000 {method 'getrandbits' of '_random.Random' objects}
        8    0.000    0.000    0.002    0.000 enum.py:392(_create_)
     1122    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
     1558    0.000    0.000    0.002    0.000 version.py:43(__lt__)
       12    0.000    0.000    0.002    0.000 __init__.py:2116(safe_listdir)
      2/1    0.000    0.000    0.002    0.002 sysconfig.py:514(get_config_vars)
      173    0.000    0.000    0.002    0.000 __init__.py:1493(_validate_resource_path)
      544    0.001    0.000    0.002    0.000 posixpath.py:117(splitext)
     1558    0.000    0.000    0.002    0.000 version.py:49(__eq__)
      104    0.000    0.000    0.002    0.000 traceback.py:285(line)
       74    0.000    0.000    0.002    0.000 sre_compile.py:536(_compile_info)
        1    0.000    0.000    0.002    0.002 queue.py:1(<module>)
      411    0.001    0.000    0.001    0.000 posixpath.py:150(dirname)
      272    0.000    0.000    0.001    0.000 __init__.py:1317(safe_name)
       78    0.000    0.000    0.001    0.000 linecache.py:26(getline)
       78    0.000    0.000    0.001    0.000 linecache.py:36(getlines)
      198    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
      152    0.000    0.000    0.001    0.000 __init__.py:1613(_has)
        1    0.000    0.000    0.001    0.001 markers.py:4(<module>)
      139    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:156(__enter__)
    111/5    0.000    0.000    0.001    0.000 pyparsing.py:3319(streamline)
        1    0.000    0.000    0.001    0.001 pyparsing.py:4904(makeHTMLTags)
      135    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.001    0.001 pyparsing.py:4875(_makeTags)
        1    0.000    0.000    0.001    0.001 linecache.py:80(updatecache)
      471    0.001    0.000    0.001    0.000 copy.py:258(_reconstruct)
        1    0.000    0.000    0.001    0.001 quoprimime.py:5(<module>)
      272    0.000    0.000    0.001    0.000 re.py:203(sub)
      153    0.000    0.000    0.001    0.000 genericpath.py:16(exists)
       20    0.000    0.000    0.001    0.000 __init__.py:1431(get_metadata_lines)
      135    0.000    0.000    0.001    0.000 __init__.py:2879(insert_on)
       20    0.000    0.000    0.001    0.000 __init__.py:1416(get_metadata)
        8    0.000    0.000    0.001    0.000 enum.py:136(__new__)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
     5555    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
       83    0.000    0.000    0.001    0.000 pyparsing.py:1821(__add__)
      812    0.001    0.000    0.001    0.000 __init__.py:2646(key)
    148/3    0.000    0.000    0.001    0.000 pyparsing.py:1370(_parseNoCache)
